#{"t_start": 1763153681.992262, "env_id": "None"}
r,l,t
-17.821125,42,71.116972
4.878769,11,71.271356
-12.779348,37,71.589469
7.757579,7,71.659545
-4.367132,25,71.8745
-1.312549,21,72.049723
-13.104149,34,72.371765
10.0,1,72.372765
-5.610483,25,72.583476
-4.895562,27,72.828547
7.159101,8,72.899003
1.47581,19,73.099932
8.273842,6,73.192275
-1.838827,23,73.636681
-6.370644,30,74.063563
3.164506,16,74.207339
-5.985458,24,74.411493
5.209054,12,74.521648
-12.904906,30,74.794691
0.033692,17,74.945457
0.873034,17,75.103594
2.625094,14,75.26726
-5.180487,22,75.466448
4.451511,12,75.593843
0.943944,16,75.749919
-11.254429,33,76.150405
0.385091,18,76.316094
0.85713,21,76.532137
-1.547434,20,76.741756
-4.54317,22,76.992084
-0.065378,19,77.205131
-16.255476,38,77.591987
-10.049217,31,77.959479
-5.882253,28,78.353284
-13.491413,38,78.757396
9.350967,3,78.799052
6.662834,9,78.883258
-0.060586,21,79.140716
8.531072,5,79.184727
5.898912,10,79.270075
6.32206,10,79.391626
-0.167437,18,79.561341
-5.852189,31,79.890802
-0.088526,18,80.107441
2.043448,15,80.236648
-4.055972,24,80.569571
1.242132,18,80.791508
-7.473145,25,81.03655
4.024456,14,81.207461
-11.046209,32,81.556201
7.269444,8,81.636867
-0.139845,19,81.810537
-0.998577,20,82.024878
3.555969,14,82.182927
4.363493,12,82.296552
-1.943159,23,82.577964
1.350783,18,82.790729
-2.070203,24,83.04614
-0.04672,18,83.242766
-9.296704,29,83.512536
1.371546,16,83.669943
3.307497,14,83.79967
3.284441,16,83.958022
8.685951,5,84.035146
3.771308,16,84.185822
6.314556,9,84.27464
-7.411878,29,84.562394
-14.146206,34,85.023154
0.252755,18,85.188358
2.865934,16,85.345763
1.534791,15,85.505184
2.214626,16,85.663333
5.622391,10,85.737647
0.806976,20,85.939377
3.605044,13,86.092624
-1.610002,22,86.295895
-0.131575,18,86.496651
10.0,1,86.499019
-5.0866,25,86.733158
-8.364624,25,87.032815
-3.013732,23,87.353823
7.095445,8,87.454377
9.673247,2,87.491755
10.0,1,87.492754
10.0,1,87.495751
6.093921,11,87.627517
-8.428851,26,87.877982
10.0,1,87.915689
2.694575,15,88.048877
-2.940004,21,88.298999
8.6271,5,88.339401
4.976715,11,88.464257
8.559409,5,88.506623
-3.324177,22,88.724576
7.068872,9,88.856012
3.564796,15,88.992862
3.850581,15,89.161566
1.117291,19,89.428702
8.552146,5,89.482793
-2.827458,22,89.77703
9.373493,3,89.782192
4.688734,12,89.905104
9.001183,4,89.944591
4.632808,13,90.111476
9.682602,2,90.115548
-4.831767,23,90.371672
6.503815,9,90.461699
5.133748,11,90.586697
-6.822077,30,90.893314
-3.619758,24,91.144814
3.81714,14,91.307166
9.673736,2,91.311369
1.542029,16,91.498559
4.800511,12,91.668799
2.239524,15,91.883014
0.568665,19,92.149452
8.233694,6,92.210326
6.968721,8,92.296156
1.514205,16,92.470623
-1.37077,20,92.69265
-3.210706,21,92.959301
8.961821,4,92.996517
7.556679,7,93.043701
-6.219078,27,93.333374
-17.135104,38,93.729069
-0.920241,21,93.937745
0.115522,17,94.12302
0.444755,17,94.344619
7.511337,7,94.441819
-4.444964,23,94.674761
2.566702,16,94.832826
7.245305,8,94.915483
6.649239,9,94.99165
-9.218464,32,95.320064
